company,snapdate,snaptime,openprice,highprice,lowprice,closeprice,volume
IEG01,2022-08-10,08:15:00,129.65,129.6999,129.1012,129.6999,2445
IEG01,2022-08-10,08:45:00,129.74,130.38,129.74,130.38,7159
IEG01,2022-08-10,09:00:00,130.75,130.78,130.45,130.45,4064
IEG01,2022-08-10,09:15:00,130.5,130.5,130.5,130.5,536
IEG01,2022-08-10,09:30:00,130.49,130.64,130.49,130.64,1487
IEG01,2022-08-10,09:45:00,130.75,131.15,130.34,131.1001,320149
IEG01,2022-08-10,10:00:00,131.14,131.7,131.01,131.41,205143
IEG01,2022-08-10,10:15:00,131.4269,131.75,131.19,131.75,194900
IEG01,2022-08-10,10:30:00,131.75,131.78,131.3,131.46,193508
IEG01,2022-08-10,10:45:00,131.47,131.5568,131.35,131.5,121466
IEG01,2022-08-10,11:00:00,131.49,131.53,131.23,131.26,102249
IEG01,2022-08-10,11:15:00,131.28,131.54,131.28,131.5,103589
IEG01,2022-08-10,11:30:00,131.49,131.53,131.21,131.21,94249
IEG01,2022-08-10,11:45:00,,131.3273,130.88,130.9,79393
IEG01,2022-08-10,12:00:00,130.88,131.02,130.8519,130.88,71137
IEG01,2022-08-10,12:15:00,130.89,131.08,130.89,130.98,65017
IEG01,2022-08-10,12:30:00,130.975,130.975,130.7801,130.93,50309
IEG01,2022-08-10,12:45:00,130.9542,131.11,130.92,131.005,84395
IEG01,2022-08-10,13:00:00,131.0,131.23,130.99,131.23,60304
IEG01,2022-08-10,13:15:00,131.24,131.3,131.17,131.245,54801
IEG01,2022-08-10,13:30:00,131.255,131.32,131.14,131.175,51513
IEG01,2022-08-10,13:45:00,131.18,131.35,131.135,131.3444,63313
IEG01,2022-08-10,14:00:00,131.37,131.38,131.2,131.21,59052
IEG01,2022-08-10,14:15:00,131.2144,131.29,131.16,131.185,76762
IEG01,2022-08-10,14:30:00,131.195,131.29,131.185,131.26,46439
IEG01,2022-08-10,14:45:00,131.24,131.45,131.23,131.43,57173
IEG01,2022-08-10,15:00:00,131.44,131.45,131.165,131.18,70929
IEG01,2022-08-10,15:15:00,131.19,131.19,130.99,131.13,72566
IEG01,2022-08-10,15:30:00,131.13,131.36,131.06,131.34,85334
IEG01,2022-08-10,15:45:00,131.35,131.65,131.2879,131.64,170352
IEG01,2022-08-10,16:00:00,131.64,131.645,131.37,131.48,500229
IEG01,2022-08-10,16:15:00,131.5,131.5,131.0,131.2,88868
IEG01,2022-08-10,16:30:00,131.5,131.5,131.2,131.4,6519
IEG01,2022-08-10,16:45:00,131.4,131.52,131.4,131.49,1086
IEG01,2022-08-10,17:15:00,,131.5,131.35,131.5,332
IEG01,2022-08-10,18:00:00,131.45,131.45,131.45,131.45,101
IEG01,2022-08-10,19:15:00,131.35,131.35,131.35,131.35,300
IEG01,2022-08-11,05:45:00,131.5,131.5,131.5,131.5,712
IEG01,2022-08-11,07:45:00,131.65,131.65,131.65,131.65,317
IEG01,2022-08-11,08:15:00,131.75,131.75,131.75,131.75,100
IEG01,2022-08-11,08:45:00,131.88,131.95,131.88,131.95,718
IEG01,2022-08-11,09:00:00,132.0,132.0,131.99,132.0,6026
IEG01,2022-08-11,09:15:00,132.0,132.15,132.0,132.15,420
IEG01,2022-08-11,09:30:00,132.11,132.38,132.11,132.38,2287
IEG01,2022-08-11,09:45:00,132.36,132.6,132.0,132.215,264202
IEG01,2022-08-11,10:00:00,132.18,132.32,132.0332,132.27,93137
IEG01,2022-08-11,10:15:00,132.275,132.79,132.2,132.71,188250
IEG01,2022-08-11,10:30:00,132.7173,132.9758,132.71,132.93,160682
IEG01,2022-08-11,10:45:00,132.95,133.225,132.935,133.14,170762
IEG01,2022-08-11,11:00:00,133.13,133.21,132.8607,132.9,96465
IEG01,2022-08-11,11:15:00,132.88,132.9,132.44,132.45,105614
IEG01,2022-08-11,11:30:00,132.445,132.91,132.43,132.7,97059
IEG01,2022-08-11,11:45:00,132.69,132.97,132.69,132.885,72189
IEG01,2022-08-11,12:00:00,132.87,132.8948,132.73,132.77,107814
IEG01,2022-08-11,12:15:00,132.79,133.0074,132.755,132.89,83353
IEG01,2022-08-11,12:30:00,132.9,133.1,132.86,133.09,100371
IEG01,2022-08-11,12:45:00,133.09,133.16,132.92,132.935,68910
IEG01,2022-08-11,13:00:00,132.94,133.03,132.865,132.976,61893
IEG01,2022-08-11,13:15:00,132.985,133.21,132.9,133.185,91092
IEG01,2022-08-11,13:30:00,133.18,133.2,132.9,132.98,75128
IEG01,2022-08-11,13:45:00,133.0,133.01,132.88,132.96,80463
IEG01,2022-08-11,14:00:00,132.9492,133.045,132.9,132.99,51125
IEG01,2022-08-11,14:15:00,132.99,133.0,132.755,132.82,67072
IEG01,2022-08-11,14:30:00,132.81,132.9322,132.8,132.84,60019
IEG01,2022-08-11,14:45:00,132.83,132.94,132.72,132.9278,65302
IEG01,2022-08-11,15:00:00,132.92,132.94,132.65,132.685,74526
IEG01,2022-08-11,15:15:00,132.67,132.695,132.29,132.345,86608
IEG01,2022-08-11,15:30:00,132.35,132.38,132.23,132.345,96266
IEG01,2022-08-11,15:45:00,132.3499,132.55,132.3201,132.34,111140
